"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_0953_5454",953,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-115.66423813,42.0502099727,1668,32,8,0
"MS1_sbs_0954_5454",954,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-111.115322551,42.6654279768,2109,170,8,0
"MS1_sbs_0955_5454",955,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0955_5454_data_42.9375_-108.8125",-108.808611959,42.9139035874,1712,75,1,1
"MS1_sbs_0956_5454",956,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0956_5454_data_43.1875_-105.8125",-105.807310073,43.1723503136,1641,292,1,1
"MS1_sbs_0957_5455",957,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0957_5455_data_42.4375_-112.9375",-112.966160425,42.4274935059,2053,118,17,1
"MS1_sbs_0958_5454",958,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-107.605916377,43.0150773455,1787,289,0,0
"MS1_sbs_0959_5257",959,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0959_5257_data_41.4375_-119.1875",-119.206663078,41.4288342159,1509,106,6,1
"MS1_sbs_0960_5257",960,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0960_5257_data_42.1875_-114.5625",-114.588712114,42.1858782964,1561,22,3,1
"MS1_sbs_0961_5454",961,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-106.131184384,43.1179327172,1774,293,8,0
"MS1_sbs_0962_5455",962,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0962_5455_data_41.3125_-119.9375",-119.901582947,41.2818159048,2216,110,16,1
"MS1_sbs_0963_5455",963,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0963_5455_data_42.6875_-110.3125",-110.302046805,42.7128103233,2394,182,1,1
